file_name,seconds
audio_2025-04-01_07-25-49.wav,21
audio_2025-04-01_07-25-49.wav,48
audio_2025-04-01_07-25-49.wav,48.5
audio_2025-04-01_07-26-49.wav,5.5
audio_2025-04-01_07-26-49.wav,6
audio_2025-04-01_07-26-49.wav,6.5
audio_2025-04-01_07-26-49.wav,21.5
audio_2025-04-01_07-26-49.wav,22
audio_2025-04-01_07-26-49.wav,22.5
audio_2025-04-01_07-26-49.wav,23
audio_2025-04-01_07-26-49.wav,23.5
audio_2025-04-01_07-26-49.wav,24
audio_2025-04-01_07-26-49.wav,24.5
audio_2025-04-01_07-44-52.wav,20
audio_2025-04-01_07-44-52.wav,20.5
audio_2025-04-01_07-45-53.wav,49.5
audio_2025-04-01_12-47-48.wav,31.5
audio_2025-04-01_12-47-48.wav,32
audio_2025-04-01_12-48-49.wav,6.5
audio_2025-04-01_12-48-49.wav,7
audio_2025-04-01_12-48-49.wav,32
audio_2025-04-01_12-48-49.wav,32.5
audio_2025-04-01_12-48-49.wav,59
audio_2025-04-01_12-48-49.wav,59.5
audio_2025-04-01_12-49-49.wav,27.5
audio_2025-04-01_12-49-49.wav,28
audio_2025-04-01_12-51-49.wav,47
audio_2025-04-01_12-51-49.wav,47.5
audio_2025-04-01_12-53-50.wav,2.5
audio_2025-04-01_12-53-50.wav,3
audio_2025-04-01_12-53-50.wav,42
audio_2025-04-01_12-53-50.wav,42.5
audio_2025-04-01_12-55-50.wav,20.5
audio_2025-04-01_12-55-50.wav,21
audio_2025-04-01_12-56-50.wav,21.5
audio_2025-04-01_12-56-50.wav,22
audio_2025-04-01_13-01-51.wav,33
audio_2025-04-01_13-01-51.wav,33.5
audio_2025-04-01_13-01-51.wav,34